time	V(b0)	V(b1)	V(mosi)
2.783275399784337e-005	2.876076e-007	4.994008e+000	0.000000e+000
2.819031389040406e-005	6.718657e-007	4.994490e+000	0.000000e+000
2.876058254687045e-005	1.190973e-006	4.995907e+000	0.000000e+000
2.962237842860653e-005	1.708662e-006	4.998950e+000	0.000000e+000
3.024195993274023e-005	1.804842e-006	5.001501e+000	0.000000e+000
3.075131216453380e-005	1.670391e-006	5.003597e+000	0.000000e+000
3.123222556511000e-005	1.400816e-006	5.005352e+000	0.000000e+000
3.159873603302661e-005	1.099242e-006	5.006432e+000	0.000000e+000
3.195371511022279e-005	7.513480e-007	5.007205e+000	0.000000e+000
3.218642317323749e-005	5.111073e-007	5.007555e+000	0.000000e+000
3.235664090109900e-005	3.235341e-007	5.007704e+000	0.000000e+000
3.256729728163968e-005	8.074933e-008	5.007773e+000	0.000000e+000
3.275957317100880e-005	-1.373446e-007	5.007720e+000	0.000000e+000
3.307195002183603e-005	-4.764154e-007	5.007382e+000	0.000000e+000
3.357363565678303e-005	-9.727526e-007	5.006359e+000	0.000000e+000
3.413822578319453e-005	-1.412049e-006	5.004638e+000	0.000000e+000
3.472792018964332e-005	-1.672081e-006	5.002363e+000	0.000000e+000
3.539707313751230e-005	-1.684021e-006	4.999584e+000	0.000000e+000
3.613311397506336e-005	-1.379191e-006	4.996746e+000	0.000000e+000
3.664085468471815e-005	-9.904054e-007	4.995152e+000	0.000000e+000
3.691317223078447e-005	-7.269444e-007	4.994526e+000	0.000000e+000
3.711116236839636e-005	-5.216124e-007	4.994204e+000	0.000000e+000
3.726308233605741e-005	-3.578135e-007	4.994036e+000	0.000000e+000
3.745164873931070e-005	-1.463756e-007	4.993919e+000	0.000000e+000
3.763201969811905e-005	5.902401e-008	4.993900e+000	0.000000e+000
3.786487937474205e-005	3.204474e-007	4.994031e+000	0.000000e+000
3.824214103220467e-005	7.204775e-007	4.994584e+000	0.000000e+000
3.884173018005491e-005	1.248074e-006	4.996155e+000	0.000000e+000
3.973839781133110e-005	1.737645e-006	4.999417e+000	0.000000e+000
4.034994614840742e-005	1.787593e-006	5.001953e+000	0.000000e+000
4.084261344964255e-005	1.623475e-006	5.003947e+000	0.000000e+000
4.131697703906705e-005	1.334501e-006	5.005619e+000	0.000000e+000
4.167186414093379e-005	1.029017e-006	5.006610e+000	0.000000e+000
4.201395490689866e-005	6.850320e-007	5.007310e+000	0.000000e+000
4.219633994177629e-005	4.961945e-007	5.007565e+000	0.000000e+000
4.236894640434392e-005	3.075309e-007	5.007703e+000	0.000000e+000
4.260119243598633e-005	4.080482e-008	5.007762e+000	0.000000e+000
4.281473504352151e-005	-2.008852e-007	5.007676e+000	0.000000e+000
4.316120678665720e-005	-5.714200e-007	5.007231e+000	0.000000e+000
4.371481107697829e-005	-1.095675e-006	5.005963e+000	0.000000e+000
4.430606987034801e-005	-1.508491e-006	5.004017e+000	0.000000e+000
4.491724283319791e-005	-1.707308e-006	5.001571e+000	0.000000e+000
4.560395056610630e-005	-1.626959e-006	4.998749e+000	0.000000e+000
4.635961835314872e-005	-1.227471e-006	4.995973e+000	0.000000e+000
4.671945033587479e-005	-9.218236e-007	4.994934e+000	0.000000e+000
4.696952319949599e-005	-6.677590e-007	4.994416e+000	0.000000e+000
4.715300810091009e-005	-4.764261e-007	4.994145e+000	0.000000e+000
4.731514007557082e-005	-3.027656e-007	4.993985e+000	0.000000e+000
4.747521770541373e-005	-1.229784e-007	4.993898e+000	0.000000e+000
4.764078388831426e-005	6.696713e-008	4.993892e+000	0.000000e+000
4.787913004768639e-005	3.347875e-007	4.994038e+000	0.000000e+000
4.826510214864885e-005	7.413219e-007	4.994623e+000	0.000000e+000
4.887753067683814e-005	1.323589e-006	4.996090e+000	0.000000e+000
4.908955949904013e-005	1.480802e-006	4.996773e+000	0.000000e+000
4.919556773395509e-005	1.549890e-006	4.997152e+000	0.000000e+000
